Date,Prev Close,Open,High,Low,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
2019-03-27,348.14948,349.75006,356.1786,341.69092,349.9278,354.82587,2277295.2,77724430000000.0,1147130.8,0.44662035
2019-03-28,350.3859,352.0089,358.506,343.8963,352.24545,357.1438,2270938.2,78068510000000.0,1143779.6,0.44629857
2019-03-29,352.677,354.3214,360.908,346.1641,354.62057,359.50934,2264412.8,78449300000000.0,1140493.5,0.445963
2019-04-01,355.01096,356.67413,363.36145,348.4789,357.03687,361.9141,2257741.2,78846730000000.0,1137165.9,0.44561642
2019-04-02,357.38242,359.0619,365.855,350.83362,359.48712,364.35522,2250909.8,79248550000000.0,1133730.1,0.4452622
2019-04-03,359.7837,361.478,368.38095,353.22073,361.96475,366.8253,2243910.5,79650965000000.0,1130186.8,0.44490314
2019-04-04,362.20633,363.9154,370.9319,355.63263,364.46286,369.31555,2236748.2,80053150000000.0,1126557.6,0.44454172
2019-04-05,364.6344,366.3583,373.4914,358.05298,366.96585,371.80988,2229460.8,80452960000000.0,1122872.4,0.4441827
2019-04-08,367.0788,368.81683,376.0637,360.48996,369.48135,374.32217,2222017.5,80839600000000.0,1119029.0,0.4438239
2019-04-09,369.52896,371.28247,378.64478,362.93512,372.00323,376.83936,2214439.5,81222050000000.0,1115126.9,0.44346875
2019-04-10,371.98328,373.7527,381.231,365.38602,374.52844,379.36038,2206725.5,81598270000000.0,1111148.4,0.44311902
2019-04-11,374.3998,376.18747,383.78812,367.80432,377.0184,381.83856,2199005.5,81975860000000.0,1107263.2,0.4427795
2019-04-12,376.758,378.56564,386.29666,370.17047,379.45193,384.2515,2191345.8,82356510000000.0,1103528.1,0.44245213
2019-04-15,379.05527,380.8825,388.74594,372.479,381.82172,386.5991,2183767.0,82728320000000.0,1099859.4,0.44213676
2019-04-16,381.27695,383.1237,391.1202,374.7151,384.1129,388.8663,2176321.0,83088160000000.0,1096281.6,0.441835
2019-04-18,383.37012,385.23874,393.37506,376.83014,386.27722,390.99506,2169175.2,83445130000000.0,1093006.8,0.4415523
2019-04-22,385.30063,387.192,395.47223,378.7893,388.27756,392.95044,2162457.5,83793120000000.0,1090076.8,0.44129243
2019-04-23,387.0521,388.96503,397.38812,380.57385,390.0939,394.71796,2156232.5,84122244000000.0,1087460.0,0.44105846
2019-04-24,388.61426,390.54706,399.1086,382.17252,391.71423,396.28848,2150537.8,84424880000000.0,1085133.1,0.4408507
2019-04-25,389.99,391.94043,400.63104,383.58582,393.13947,397.66733,2145381.2,84693110000000.0,1083041.6,0.4406685
2019-04-26,391.1435,393.1117,401.92874,384.78204,394.33884,398.81403,2140874.0,84937000000000.0,1081362.4,0.44051537
2019-04-30,392.10513,394.0863,403.00742,385.78082,395.33173,399.7695,2136998.5,85125780000000.0,1079808.2,0.44038686
2019-05-02,392.89444,394.88782,403.90088,386.60657,396.14606,400.5498,2133657.0,85278700000000.0,1078474.9,0.44028047
2019-05-03,393.57562,395.57846,404.66336,387.31787,396.84167,401.22552,2130672.2,85385970000000.0,1077126.8,0.44018683
